Country Code ISO3,Country,Goal 11 Score,Goal 11 Dash,Proportion of urban population living in slums (%),Annual mean concentration of particulate matter of less than 2.5 microns in diam,"Access to improved water source, piped (% of urban population)",Satisfaction with public transport (%),Population with rent overburden (%)
AFG,Afghanistan,29.3085,red,73.5,54.95,41.859,34.0,
AGO,Angola,47.559999999999995,red,47.0,32.322,59.482,32.0,
ALB,Albania,74.477,orange,13.200000000000001,17.541,83.73,48.0,
AND,Andorra,,yellow,,11.189,100.0,,
ARE,United Arab Emirates,78.086,yellow,,41.669000000000004,,84.0,
ARG,Argentina,82.07050000000001,orange,14.700000000000001,12.612,98.935,54.0,
ARM,Armenia,75.22575,orange,8.2,32.241,99.95400000000001,47.0,
ATG,Antigua and Barbuda,,grey,,17.641000000000002,,,
AUS,Australia,89.4495,yellow,0.0,8.124,92.372,63.0,7.728
AUT,Austria,93.01466666666666,yellow,0.0,11.945,,74.0,5.813
AZE,Azerbaijan,86.23166666666667,yellow,,19.196,100.0,67.0,
BDI,Burundi,56.19825,red,50.5,37.443,90.867,39.0,
BEL,Belgium,88.5515,yellow,0.0,12.338000000000001,100.0,59.0,6.965
BEN,Benin,43.9855,red,59.2,41.915,48.608000000000004,46.0,
BFA,Burkina Faso,52.132749999999994,red,56.6,45.894,73.503,51.0,
BGD,Bangladesh,51.317499999999995,red,47.6,59.454,35.672000000000004,78.0,
BGR,Bulgaria,80.40766666666667,orange,,18.48,99.529,56.0,
BHR,Bahrain,48.55,orange,,72.833,,70.0,
BHS,"Bahamas, The",,grey,,16.318,,,
BIH,Bosnia and Herzegovina,73.44250000000001,red,8.3,26.753,97.645,40.0,
BLR,Belarus,73.07300000000001,orange,45.2,18.339,99.052,57.0,
BLZ,Belize,79.76774999999999,orange,3.5,21.327,96.36200000000001,49.0,
BOL,Bolivia,72.11475,orange,49.9,19.688,86.683,67.0,
BRA,Brazil,78.34725,orange,15.200000000000001,11.844,99.822,44.0,
BRB,Barbados,80.995,grey,,21.637,,,
BRN,Brunei Darussalam,99.787,green,,5.102,99.60000000000001,,
BTN,Bhutan,84.55333333333333,yellow,,33.135,99.297,75.0,
BWA,Botswana,80.82766666666667,orange,,22.622,96.386,62.0,
CAF,Central African Republic,16.424,red,98.5,61.733000000000004,32.291000000000004,25.0,
CAN,Canada,89.41225,yellow,0.0,5.924,99.255,57.0,8.968
CHE,Switzerland,99.05825,yellow,0.0,9.34,100.0,87.0,7.619
CHL,Chile,87.55325,orange,0.0,19.364,99.85300000000001,62.0,13.907
CHN,China,79.459,orange,,48.63,91.39,85.0,
CIV,Cote d'Ivoire,48.231500000000004,red,61.1,28.254,59.787,40.0,
CMR,Cameroon,43.04475000000001,red,24.6,80.412,55.291000000000004,45.0,
COD,"Congo, Dem. Rep.",40.786,red,80.4,42.845,67.411,41.0,
COG,"Congo, Rep.",50.374500000000005,red,47.300000000000004,50.147,72.815,44.0,
COL,Colombia,78.48400000000001,orange,28.5,15.068,95.098,59.0,
COM,Comoros,,orange,69.60000000000001,20.353,76.109,54.0,
CPV,Cabo Verde,,orange,,36.464,96.643,,
CRI,Costa Rica,90.86175,yellow,3.6,14.753,100.0,69.0,
CUB,Cuba,65.76825,orange,6.6000000000000005,18.512,86.421,8.0,
CYP,Cyprus,76.92733333333335,orange,,16.594,99.72500000000001,48.0,
CZE,Czech Republic,94.923,yellow,0.0,15.269,99.903,77.0,2.16
DEU,Germany,90.90825,yellow,0.0,11.281,100.0,64.0,4.154
DJI,Djibouti,60.03575,red,65.6,47.422000000000004,99.11200000000001,61.0,
DMA,Dominica,,grey,,18.358,,,
DNK,Denmark,95.06775,yellow,0.0,9.645,100.0,73.0,16.128
DOM,Dominican Republic,83.471,orange,14.3,12.719,84.086,67.0,
DZA,Algeria,57.815,orange,,41.256,76.105,47.0,
ECU,Ecuador,87.447,yellow,17.1,13.671000000000001,100.0,69.0,
EGY,"Egypt, Arab Rep.",66.27725000000001,orange,3.1,91.278,98.824,64.0,
ERI,Eritrea,,red,,52.077,69.0,,
ESP,Spain,93.10225,yellow,0.0,9.36,99.908,68.0,11.114
EST,Estonia,91.29375,yellow,0.0,6.397,98.81400000000001,62.0,4.623
ETH,Ethiopia,55.1845,red,66.2,39.793,87.883,51.0,
FIN,Finland,92.0455,yellow,0.0,5.542,100.0,63.0,8.757
FJI,Fiji,93.457,yellow,10.8,10.132,97.295,,
FRA,France,90.52950000000001,yellow,0.0,11.194,100.0,63.0,5.304
FSM,"Micronesia, Fed. Sts.",,grey,,10.712,,,
GAB,Gabon,54.411,red,36.5,47.537,88.915,34.0,
GBR,United Kingdom,92.93700000000001,yellow,0.0,9.973,100.0,68.0,12.915000000000001
GEO,Georgia,79.68575,orange,34.1,21.709,96.414,70.0,
GHA,Ghana,52.906,red,29.2,40.093,41.07,51.0,
GIN,Guinea,46.9995,red,50.7,27.147000000000002,53.691,33.0,
GMB,"Gambia, The",63.86925,orange,24.3,35.409,83.881,43.0,
GNB,Guinea-Bissau,,red,78.2,32.238,55.47,,
GNQ,Equatorial Guinea,,red,66.1,59.02,48.115,,
GRC,Greece,81.1135,orange,0.0,15.387,100.0,43.0,14.194
GRD,Grenada,,grey,,21.426000000000002,,,
GTM,Guatemala,79.558,orange,31.0,22.055,88.528,73.0,
GUY,Guyana,78.4615,orange,32.5,21.459,86.806,72.0,
HND,Honduras,80.084,orange,40.5,18.844,96.68,73.0,
HRV,Croatia,75.39633333333335,orange,,16.816,95.67,48.0,
HTI,Haiti,31.717000000000002,red,77.8,15.27,15.318,30.0,
HUN,Hungary,88.495,yellow,0.0,15.141,100.0,61.0,8.179
IDN,Indonesia,71.88074999999999,red,30.400000000000002,16.173000000000002,44.602000000000004,78.0,
IND,India,50.34125,red,34.800000000000004,90.619,65.94500000000001,68.0,
IRL,Ireland,89.972,yellow,0.0,7.765000000000001,96.965,61.0,5.6080000000000005
IRN,"Iran, Islamic Rep.",74.2625,orange,23.900000000000002,39.204,99.47800000000001,61.0,
IRQ,Iraq,55.54475,red,46.4,61.888,88.18900000000001,55.0,
ISL,Iceland,90.422,orange,0.0,6.122,100.0,59.0,16.195
ISR,Israel,87.87275,yellow,0.0,18.459,100.0,62.0,
ITA,Italy,73.558,orange,0.0,15.818,,41.0,8.419
JAM,Jamaica,68.306,orange,59.6,12.71,91.146,56.0,
JOR,Jordan,75.20700000000001,orange,20.7,33.451,89.943,63.0,
JPN,Japan,86.915,yellow,0.0,10.991,,62.0,8.953
KAZ,Kazakhstan,78.78200000000001,orange,10.5,13.611,94.034,47.0,
KEN,Kenya,57.33525,red,46.1,28.434,60.248000000000005,52.0,
KGZ,Kyrgyz Republic,85.10725,yellow,8.5,19.765,100.0,62.0,
KHM,Cambodia,71.1035,orange,45.6,23.318,79.574,69.0,
KIR,Kiribati,,orange,,9.991,62.386,,
KNA,St. Kitts and Nevis,,grey,,11.790000000000001,,,
KOR,"Korea, Rep.",88.65566666666666,yellow,0.0,23.808,,75.0,3.078
KWT,Kuwait,48.7535,orange,,60.714,,61.0,
LAO,Lao PDR,77.32875,orange,18.5,23.087,62.218,77.0,
LBN,Lebanon,40.626000000000005,red,,30.6,,28.0,
LBR,Liberia,28.239,red,66.6,18.755,8.344,16.0,
LBY,Libya,,orange,,55.516,,43.0,
LCA,St. Lucia,,orange,11.9,21.036,98.5,,
LIE,Liechtenstein,,grey,,,,,
LKA,Sri Lanka,81.57600000000001,orange,,7.221,79.048,63.0,
LSO,Lesotho,61.79325,red,61.9,26.555,91.291,52.0,
LTU,Lithuania,84.03725,yellow,0.0,11.189,99.999,47.0,2.684
LUX,Luxembourg,97.55325,yellow,0.0,9.482,100.0,79.0,11.652000000000001
LVA,Latvia,87.90875,yellow,0.0,12.706,98.014,59.0,1.758
MAR,Morocco,75.52125000000001,orange,9.0,33.415,92.595,54.0,
MCO,Monaco,,yellow,,11.754,100.0,,
MDA,Moldova,66.474,orange,70.4,15.757,92.98100000000001,60.0,
MDG,Madagascar,50.936,red,73.3,22.26,65.029,47.0,
MDV,Maldives,81.08475,orange,32.1,6.796,98.998,59.0,
MEX,Mexico,81.21825,orange,15.1,19.036,99.053,57.0,4.113
MHL,Marshall Islands,,grey,,,35.726,,
MKD,North Macedonia,75.658,orange,6.4,29.182000000000002,99.18900000000001,45.0,
MLI,Mali,55.581,red,46.0,39.435,84.647,40.0,
MLT,Malta,88.66333333333334,yellow,,13.309000000000001,100.0,67.0,
MMR,Myanmar,54.507,red,57.1,34.159,66.239,53.0,
MNE,Montenegro,68.009,red,27.1,19.614,96.167,35.0,
MNG,Mongolia,42.599000000000004,red,37.1,38.6,34.776,34.0,
MOZ,Mozambique,58.73350000000001,orange,76.9,20.508,77.742,59.0,
MRT,Mauritania,38.61025,red,79.5,50.369,65.53,42.0,
MUS,Mauritius,88.81299999999999,yellow,,14.185,99.916,68.0,
MWI,Malawi,55.054500000000004,orange,66.9,22.973,80.748,43.0,
MYS,Malaysia,86.08300000000001,yellow,,14.762,98.995,64.0,
NAM,Namibia,66.4015,red,42.800000000000004,25.784,96.922,46.0,
NER,Niger,49.9975,red,61.1,106.121,93.619,67.0,
NGA,Nigeria,26.2135,red,53.300000000000004,83.593,12.0,54.0,
NIC,Nicaragua,78.99575,orange,41.800000000000004,16.235,95.486,70.0,
NLD,Netherlands,96.54975,yellow,0.0,11.411,100.0,78.0,6.144
NOR,Norway,94.00575,yellow,0.0,6.523000000000001,100.0,68.0,7.73
NPL,Nepal,44.8775,red,49.300000000000004,95.718,52.93,73.0,
NRU,Nauru,,orange,,11.844,52.82,,
NZL,New Zealand,89.2045,yellow,0.0,5.625,100.0,56.0,
OMN,Oman,77.79533333333333,orange,,45.131,97.266,73.0,
PAK,Pakistan,51.31125,red,38.0,57.749,44.989000000000004,64.0,
PAN,Panama,84.887,orange,21.3,10.506,98.706,64.0,
PER,Peru,72.457,orange,33.1,23.296,94.456,54.0,
PHL,Philippines,71.34575,orange,44.300000000000004,16.887,82.315,62.0,
PLW,Palau,,yellow,,11.453,94.273,,
PNG,Papua New Guinea,71.8105,orange,,11.045,52.581,,
POL,Poland,85.7705,orange,0.0,19.728,96.628,60.0,7.022
PRK,"Korea, Dem. Rep.",,red,,29.771,73.611,,
PRT,Portugal,89.6395,yellow,0.0,7.516,100.0,58.0,5.704
PRY,Paraguay,75.68666666666667,orange,,10.664,100.0,41.0,
QAT,Qatar,35.7145,orange,,93.84400000000001,,65.0,
ROU,Romania,80.8645,yellow,14.4,14.171000000000001,89.808,58.0,
RUS,Russian Federation,85.52033333333334,yellow,,15.611,96.873,65.0,
RWA,Rwanda,55.6955,red,44.1,42.295,75.752,47.0,
SAU,Saudi Arabia,47.8895,orange,,88.34,,80.0,
SDN,Sudan,30.280250000000002,red,93.7,58.668,68.574,33.0,
SEN,Senegal,64.05575,red,28.400000000000002,41.574,85.362,50.0,
SGP,Singapore,94.73700000000001,yellow,,19.042,100.0,93.0,
SLB,Solomon Islands,,orange,,11.158,70.495,,
SLE,Sierra Leone,35.890499999999996,red,59.6,22.875,33.049,22.0,
SLV,El Salvador,82.93950000000001,orange,19.8,22.86,95.054,70.0,
SMR,San Marino,,grey,,13.322000000000001,,,
SOM,Somalia,56.618750000000006,red,73.60000000000001,32.873,76.171,62.0,
SRB,Serbia,81.351,orange,3.6,23.844,97.721,54.0,
SSD,South Sudan,13.82625,red,97.3,46.141,10.489,18.0,
STP,Sao Tome and Principe,58.538000000000004,red,86.60000000000001,29.028000000000002,100.0,,
SUR,Suriname,86.21775000000001,orange,5.5,23.592,88.726,73.0,
SVK,Slovak Republic,85.175,orange,0.0,16.865000000000002,97.159,56.0,3.351
SVN,Slovenia,84.02333333333333,yellow,0.0,15.372,,60.0,3.391
SWE,Sweden,92.0125,yellow,0.0,5.954,89.206,70.0,9.506
SWZ,Eswatini,78.2935,orange,32.7,16.724,93.069,64.0,
SYC,Seychelles,,grey,,19.818,,,
SYR,Syrian Arab Republic,50.974999999999994,red,13.8,46.156,70.535,15.0,
TCD,Chad,26.674500000000002,red,86.60000000000001,69.608,52.018,41.0,
TGO,Togo,37.17825,red,53.300000000000004,41.082,41.827,29.0,
THA,Thailand,77.18650000000001,orange,24.5,24.192,90.57000000000001,63.0,
TJK,Tajikistan,76.6405,orange,23.6,44.569,89.949,77.0,
TKM,Turkmenistan,80.08566666666667,orange,,19.916,77.426,71.0,
TLS,Timor-Leste,,orange,30.1,18.526,81.648,,
TON,Tonga,,yellow,,10.117,99.75,,
TTO,Trinidad and Tobago,78.04366666666665,orange,1.9000000000000001,22.905,,56.0,
TUN,Tunisia,68.9545,red,8.0,40.26,99.241,38.0,
TUR,Turkey,73.11875,orange,7.0,45.212,98.259,52.0,
TUV,Tuvalu,,yellow,,10.251,100.0,,
TZA,Tanzania,62.01775000000001,red,40.2,28.512,59.576,60.0,
UGA,Uganda,48.392,red,46.0,52.493,53.023,53.0,
UKR,Ukraine,75.49125,orange,18.0,19.012,79.015,58.0,
URY,Uruguay,91.12900000000002,yellow,,8.65,100.0,68.0,
USA,United States,90.56375,yellow,0.0,6.809,99.60000000000001,60.0,11.007
UZB,Uzbekistan,74.194,red,58.5,26.904,88.08200000000001,84.0,
VCT,St. Vincent and the Grenadines,,grey,,21.083000000000002,,,
VEN,"Venezuela, RB",49.571333333333335,red,35.800000000000004,15.587,,19.0,
VNM,Vietnam,78.92675,orange,13.5,27.896,85.367,66.0,
VUT,Vanuatu,,yellow,,11.107000000000001,78.31700000000001,,
WSM,Samoa,,yellow,,10.829,86.83800000000001,,
YEM,"Yemen, Rep.",45.6165,red,56.0,51.855000000000004,76.679,37.0,
ZAF,South Africa,79.86225,orange,26.400000000000002,24.313,98.17,66.0,
ZMB,Zambia,50.3095,red,63.300000000000004,26.289,66.077,41.0,
ZWE,Zimbabwe,59.1255,red,29.0,21.333000000000002,66.783,35.0,
_E_S_Asia,East and South Asia,63.2315,red,35.449,59.498000000000005,72.999,74.586,
_E_Euro_Asia,Eastern Europe and Central Asia,72.7535,orange,35.545,22.561,87.563,60.364000000000004,
_LAC,Latin America and the Caribbean,75.99275,orange,22.331,14.41,94.999,48.202,
_MENA,Middle East and North Africa,61.24866666666667,orange,,58.614000000000004,91.32300000000001,56.612,
_Oceania,Oceania,75.293,orange,,10.957,59.019,,
_OECD,OECD members,87.726,yellow,2.94,13.841000000000001,98.968,60.802,
_SIDS,Small Island Developing States,76.45500000000001,orange,,17.556,68.88,,
_Africa,Sub-Saharan Africa,46.7235,red,56.67,47.777,58.829,48.784,
_LIC,Low-income Countries,45.709,red,66.91,44.31,69.52,43.632,
_LMIC,Lower-middle-income Countries,54.953,red,35.97,63.116,61.505,64.846,
_UMIC,Upper-middle-income Countries,78.90825,orange,20.208000000000002,36.384,93.593,71.628,
_HIC,High-income Countries,89.388,yellow,0.002,14.047,99.232,62.871,
